s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
1e9,"POLYGON ((22.61986494804043 -32.39984017391932, 28.67314648943499 -31.09807140426155, 28.67314648943499 -25.63226655107013, 22.61986494804042 -26.7849955075022, 22.61986494804043 -32.39984017391932))",0.778,0.817,0.976,7169501,5063636,209,12456870,44393
397,"POLYGON ((73.46516214265485 21.77355606643973, 79.38034472384487 22.27057548800819, 79.38034472384487 28.25839533868567, 73.46516214265485 27.66622518241585, 73.46516214265485 21.77355606643973))",0.774,0.804,0.829,25742998,17227082,11044832,61048124,7027
399,"POLYGON ((79.38034472384487 22.27057548800819, 84.94013115373588 22.54054940194471, 84.94013115373588 28.57906855098932, 79.38034472384487 28.25839533868567, 79.38034472384487 22.27057548800819))",0.743,0.773,0.809,45099294,32124314,18325090,82495502,15987
681,"POLYGON ((135 0, 135 -3.582521766172679, 140.0187653410811 -3.881312186924027, 140.0187653410811 0, 135 0))",0.729,0.778,0.811,188647,141234,106141,253784,519
8e1,"POLYGON ((-73.46516214265485 4.851647556935838, -73.46516214265485 0, -67.38013505195958 0, -67.38013505195957 4.67244275538945, -73.46516214265485 4.851647556935838))",0.711,0.742,0.802,220204,189543,121176,277823,314
94f,"POLYGON ((-55.4914770123316 -24.25860976441469, -55.4914770123316 -29.53280370582265, -50.01876534108111 -27.78027316318915, -50.01876534108111 -22.73590953009369, -55.4914770123316 -24.25860976441469))",0.719,0.771,0.828,9196414,7417058,4894220,11246273,10077
9ab,"POLYGON ((-95.05986884626412 0, -95.05986884626412 -5.040252729758283, -90 -5.059868846264117, -90 0, -95.05986884626412 0))",0.651,0.689,0.733,16065,14239,11954,16122,383
12f,"POLYGON ((5.059868846264117 34.40415724063815, 10.61965527615513 34.04786296943432, 10.61965527615513 39.49464011274421, 5.059868846264117 39.87112800298822, 5.059868846264117 34.40415724063815))",0.780,0.840,1.000,5041091,2762624,0,8878248,34871
169,"POLYGON ((28.67314648943499 14.59941342503042, 34.5085229876684 13.74670252512002, 34.5085229876684 18.9499500044539, 28.67314648943499 20.08096213071963, 28.67314648943499 14.59941342503042))",0.776,0.800,0.838,5477948,4028293,1853000,11029595,39260
331,"POLYGON ((124.5085229876684 8.783194988097531, 129.9812346589189 8.175896074358709, 129.9812346589189 12.81566331979315, 124.5085229876684 13.74670252512002, 124.5085229876684 8.783194988097531))",0.738,0.776,0.824,1294500,879739,429653,2166371,2102
